---,HeroID,DisplayName,Nickname,Rank,StarType,Vitality,Strength,Dexterity,Intelligence,Morale,PrimaryAptitude,SecondaryAptitude,DefaultLoyalty,HeroTrait,DefaultEquipment,Fame,PortraitPath,Biography
SuoChao,SuoChao,索超,急先鋒,19,天空星,86,90,75,45,85,Warrior,None,85,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,大名府留守司正牌軍，作戰性急勇猛，手使一把金蘸斧。
DaiZong,DaiZong,戴宗,神行太保,20,天速星,70,60,98,65,85,Taoist,None,95,DivineSpeed,Charm_DivineSpeed,250,/Game/UI/Portraits/Portrait_LinChong.jpg,江州兩院押牢節級，身懷神行法，日行八百里，負責梁山情報傳遞。
LiuTang,LiuTang,劉唐,赤髮鬼,21,天異星,85,88,85,50,90,Warrior,None,90,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,東潞州人，紫黑闊臉，鬢邊硃砂紅記，生辰綱七星聚義之一。
LiKui,LiKui,李逵,黑旋風,22,天殺星,95,96,65,30,95,Warrior,Hunter,100,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,沂州沂水縣人，步戰無敵，使兩把板斧，性格暴烈但對宋江極度忠誠。
ShiJin,ShiJin,史進,九紋龍,23,天微星,86,88,88,60,85,Warrior,Hunter,90,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,華陰縣史家莊少莊主，身刺九條青龍，師從王進，武藝精熟。
MuHong,MuHong,穆弘,沒遮攔,24,天究星,82,85,80,60,80,Warrior,Merchant,90,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,江州揭陽鎮富戶，性情剛烈，武藝高強，揭陽三霸之一。
LeiHeng,LeiHeng,雷橫,插翅虎,25,天退星,82,84,85,55,80,Warrior,Blacksmith,85,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,鄆城縣步兵都頭，身手矯捷，能跳二三丈闊澗，使朴刀。
LiJun,LiJun,李俊,混江龍,26,天壽星,86,84,85,78,90,Boatman,Warrior,90,AquaticMastery,None,250,/Game/UI/Portraits/Portrait_LiJun.jpg,揚子江艄公，水性極佳，智勇雙全，梁山水軍大都督。
RuanXiaoer,RuanXiaoer,阮小二,立地太歲,27,天劍星,85,86,80,65,88,Boatman,Fisherman,90,AquaticMastery,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,石碣村漁民，阮氏三雄之首，敢作敢當，水性過人。
ZhangHeng,ZhangHeng,張橫,船火兒,28,天平星,82,84,82,60,85,Boatman,Merchant,85,AquaticMastery,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,潯陽江艄公，揭陽三霸之一，水底工夫了得。
RuanXiaowu,RuanXiaowu,阮小五,短命二郎,29,天罪星,84,85,82,60,88,Boatman,Fisherman,90,AquaticMastery,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,石碣村漁民，阮氏三雄老二，胸前刺青豹，膽氣過人。
ZhangShun,ZhangShun,張順,浪裏白條,30,天損星,84,80,95,70,90,Boatman,Fisherman,95,AquaticMastery,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,潯陽江漁牙主人，身白如銀，水底可潛七天七夜，水戰無雙。
RuanXiaoqi,RuanXiaoqi,阮小七,活閻羅,31,天敗星,85,86,85,60,90,Boatman,Fisherman,90,AquaticMastery,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,石碣村漁民，阮氏三雄老么，性情直爽，殺人不眨眼。
YangXiong,YangXiong,楊雄,病關索,32,天牢星,85,86,80,60,80,Warrior,None,85,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,薊州兩院押獄兼行刑劊子，面色微黃，使一口好槍棒。
ShiXiu,ShiXiu,石秀,拚命三郎,33,天慧星,86,88,88,75,95,Warrior,Merchant,95,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,金陵人氏，賣柴為生，為人好打不平，臨危不懼，敢作敢拚。
XieZhen,XieZhen,解珍,兩頭蛇,34,天暴星,80,82,88,60,85,Hunter,Warrior,85,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,登州第一獵戶，善使渾鐵點鋼叉，翻山越嶺如履平地。
XieBao,XieBao,解寶,雙尾蠍,35,天哭星,80,82,88,60,85,Hunter,Warrior,85,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,解珍之弟，登州獵戶，性格暴烈，善使鋼叉、短刀。
YanQing,YanQing,燕青,浪子,36,天巧星,78,80,98,88,90,Hunter,Entertainer,95,Deadeye,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,大名府盧俊義家僕，吹拉彈唱相撲百藝皆通，弩箭百發百中。
ZhuWu,ZhuWu,朱武,神機軍師,37,地魁星,60,50,55,92,80,Scholar,None,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,定遠人氏，精通陣法兵書，足智多謀，少華山首領。
HuangXin,HuangXin,黃信,鎮三山,38,地煞星,80,82,75,60,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,青州府兵馬都監，秦明徒弟，手使喪門劍，號鎮三山。
SunLi,SunLi,孫立,病尉遲,39,地勇星,85,88,85,70,85,Warrior,None,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,登州兵馬提轄，使一條竹節鋼鞭，弓馬嫻熟，策劃破祝家莊。
XuanZan,XuanZan,宣贊,醜郡馬,40,地傑星,80,82,75,65,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,衙門防禦使，面如鍋底，鼻孔朝天，武藝過人。
HaoSiwen,HaoSiwen,郝思文,井木犴,41,地雄星,80,82,80,65,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,關勝結義兄弟，精通十八般武藝。
HanTao,HanTao,韓滔,百勝將,42,地威星,78,80,75,60,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,陳州團練使，使一口棗木槊，弓馬純熟。
PengQi,PengQi,彭玘,天目將,43,地英星,78,80,75,60,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,潁州團練使，使三尖兩刃刀，呼延灼副將。
ShanTinggui,ShanTinggui,單廷珪,聖水將,44,地奇星,80,82,80,70,80,Warrior,Taoist,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,凌州團練使，善用水攻戰法。
WeiDingguo,WeiDingguo,魏定國,神火將,45,地猛星,80,82,80,70,80,Warrior,Taoist,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,凌州團練使，精通火攻火器戰法。
XiaoRang,XiaoRang,蕭讓,聖手書生,46,地文星,50,40,60,85,75,Scholar,Artisan,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,濟州文人，精通各家書法，善仿名家筆跡。
PeiXuan,PeiXuan,裴宣,鐵面孔目,47,地正星,65,60,60,80,90,Scholar,None,90,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,京兆府六案孔目，執法嚴明，鐵面無私，梁山軍政司。
OuPeng,OuPeng,歐鵬,摩雲金翅,48,地闊星,78,80,82,60,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,黃州人，軍班出身，身手敏捷，行走如飛。
DengFei,DengFei,鄧飛,火眼狻猊,49,地闔星,78,80,78,55,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,襄陽人，雙眼赤紅，使一口鐵鏈夾棒。
YanShun,YanShun,燕順,錦毛虎,50,地強星,78,80,75,50,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,清風山首領，使一口朴刀。
YangLin,YangLin,楊林,錦豹子,51,地暗星,78,80,82,65,80,Hunter,Warrior,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,彰德府人，江湖遊俠，機警過人。
LingZhen,LingZhen,凌振,轟天雷,52,地軸星,70,65,75,85,80,Artisan,Warrior,85,None,Item_ThunderCannon,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京甲仗庫副使，宋朝第一火炮專家。
JiangJing,JiangJing,蔣敬,神算子,53,地會星,55,45,55,88,80,Merchant,Scholar,90,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,潭州落第秀才，精通算術帳目，掌梁山庫藏收支。
LuFang,LuFang,呂方,小溫侯,54,地佐星,80,84,82,60,80,Warrior,None,85,None,Item_Halberd,100,/Game/UI/Portraits/Portrait_LinChong.jpg,對影山首領，學呂布使方天畫戟。
GuoSheng,GuoSheng,郭盛,賽仁貴,55,地佑星,80,84,82,60,80,Warrior,None,85,None,Item_Halberd,100,/Game/UI/Portraits/Portrait_LinChong.jpg,嘉陵人氏，學薛仁貴使方天畫戟。
AnDaoquan,AnDaoquan,安道全,神醫,56,地靈星,55,40,70,90,85,Doctor,Scholar,90,DivinePhysician,Medicine_GoldenSalve,100,/Game/UI/Portraits/Portrait_LinChong.jpg,建康府名醫，醫術通神，起死回生，梁山隨軍首席醫師。
HuangfuDuan,HuangfuDuan,皇甫端,紫髯伯,57,地獸星,60,50,65,80,80,Doctor,None,85,BeastTamer,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東昌府名獸醫，善相馬治馬，梁山掌管戰馬醫療。
WangYing,WangYing,王英,矮腳虎,58,地微星,75,78,80,45,75,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,清風山頭領，身材矮小好色，使滾刀。
HuSanniang,HuSanniang,扈三娘,一丈青,59,地慧星,82,85,90,70,85,Warrior,Hunter,85,None,Item_TwinBroadswords,100,/Game/UI/Portraits/Portrait_LinChong.jpg,獨龍岡扈家莊女將，雙刀嫻熟，套索百發百中。
BaoXu,BaoXu,鮑旭,喪門神,60,地暴星,84,86,70,40,85,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,枯樹山頭領，嗜殺成性，使一口闊劍。
FanRui,FanRui,樊瑞,混世魔王,61,地默星,75,72,75,88,85,Taoist,Warrior,85,Sorcery,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,芒碭山首領，善使流星錘與法術。
KongLiang,KongLiang,孔亮,獨火星,62,地猖星,72,75,70,50,75,Warrior,Farmer,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,白虎山頭領，宋江之徒。
KongMing,KongMing,孔明,毛頭星,63,地狂星,72,75,70,50,75,Warrior,Farmer,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,孔亮之兄，白虎山頭領。
XiangChong,XiangChong,項充,八臂哪吒,64,地飛星,78,80,82,50,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,芒碭山頭領，使團牌飛刀二十四把。
LiGun,LiGun,李袞,飛天大聖,65,地走星,78,80,82,50,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,芒碭山頭領，使團牌飛標槍二十四枝。
JinDajian,JinDajian,金大堅,玉臂匠,66,地巧星,55,45,75,80,80,Artisan,None,85,MasterCraft,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,濟州雕刻名匠，精通刻印制符。
MaLin,MaLin,馬麟,鐵笛仙,67,地明星,75,76,80,65,80,Entertainer,Warrior,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,黃門山頭領，吹得一口好鐵笛，雙刀純熟。
TongWei,TongWei,童威,出洞蛟,68,地進星,78,78,82,60,80,Boatman,Fisherman,85,AquaticMastery,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,潯陽江艄公，李俊結義兄弟。
TongMeng,TongMeng,童猛,翻江蜃,69,地退星,78,78,82,60,80,Boatman,Fisherman,85,AquaticMastery,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,童威之弟，水性極精。
MengKang,MengKang,孟康,玉幡竿,70,地滿星,70,65,70,70,80,Artisan,Boatman,85,MasterCraft,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,真定府名匠，精通造大船，梁山造船總管。
HouJian,HouJian,侯健,通臂猿,71,地遂星,55,45,85,65,80,Artisan,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,裁縫出身，身手敏捷，掌管梁山旗幟衣甲製作。
ChenDa,ChenDa,陳達,跳澗虎,72,地周星,78,80,75,50,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,少華山頭領，使一條丈八點鋼槍。
YangChun,YangChun,楊春,白花蛇,73,地隱星,76,78,78,55,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,少華山頭領，使口大桿刀。
ZhengTianshou,ZhengTianshou,鄭天壽,白面郎君,74,地異星,72,74,75,60,75,Warrior,Artisan,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,銀匠出身，清風山頭領。
TaoZongwang,TaoZongwang,陶宗旺,九尾龜,75,地理星,82,80,70,55,85,Farmer,Artisan,85,MasterCraft,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,莊稼漢出身，力大無窮，使鐵鍬，梁山修築工程總管。
SongQing,SongQing,宋清,鐵扇子,76,地俊星,60,50,55,70,80,Merchant,None,95,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,宋江之弟，掌管梁山宴席款待事宜。
LeHe,LeHe,樂和,鐵叫子,77,地樂星,65,55,80,80,85,Entertainer,Scholar,90,Inspire,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,登州牢子，聰慧善樂，能歌善舞。
GongWang,GongWang,龔旺,花項虎,78,地捷星,76,78,80,50,75,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東昌府副將，身刺虎斑，使飛槍。
DingDeSun,DingDeSun,丁得孫,中箭虎,79,地速星,76,78,80,50,75,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東昌府副將，使飛叉。
MuChun,MuChun,穆春,小遮攔,80,地鎮星,74,76,72,55,75,Warrior,Merchant,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,穆弘之弟，揭陽鎮豪強。
CaoZheng,CaoZheng,曹正,操刀鬼,81,地嵇星,75,76,70,60,80,Merchant,Warrior,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京屠戶，林沖之徒，二龍山好漢。
SongWan,SongWan,宋萬,摸著天,82,地魔星,76,75,65,45,75,Warrior,None,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,梁山泊開山元老之一，身材極高。
DuQian,DuQian,杜遷,摸著天,83,地妖星,76,75,65,45,75,Warrior,None,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,梁山泊開山元老之一。
XueYong,XueYong,薛永,病大蟲,84,地幽星,78,80,78,55,80,Warrior,Doctor,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,河南洛陽人，賣藥使棒出身。
ShiEn,ShiEn,施恩,金眼彪,85,地伏星,74,76,75,65,80,Merchant,Warrior,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,孟州牢城管營之子，快活林酒肉莊主。
LiZhong,LiZhong,李忠,打虎將,86,地僻星,72,74,70,50,75,Warrior,Doctor,75,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,江湖使棒賣藥人，桃花山首領。
ZhouTong,ZhouTong,周通,小霸王,87,地空星,74,75,70,45,75,Warrior,None,75,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,桃花山二頭領，使走水綠沉槍。
TangLong,TangLong,湯隆,金錢豹子,88,地孤星,78,80,72,60,85,Blacksmith,Warrior,85,MasterCraft,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,延安府鐵匠，打造軍器無雙，梁山軍器造作總管。
DuXing,DuXing,杜興,鬼臉兒,89,地全星,72,74,75,68,80,Merchant,None,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,中山府人，李家莊管家。
ZouYuan,ZouYuan,鄒淵,出林龍,90,地短星,75,78,75,50,75,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,登雲山首領。
ZouRun,ZouRun,鄒潤,獨角龍,91,地角星,75,78,72,50,75,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,鄒淵之侄，頭生肉瘤，曾撞折松樹。
ZhuGui,ZhuGui,朱貴,旱地忽律,92,地囚星,65,55,65,78,85,Merchant,None,90,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,沂州人，梁山南山酒店探聽情報頭領。
ZhuFu,ZhuFu,朱富,笑面虎,93,地藏星,65,55,65,75,85,Merchant,None,90,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,朱貴之弟，沂水縣開酒店，精於釀酒管帳。
CaiFu,CaiFu,蔡福,鐵臂膊,94,地平星,75,78,70,60,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大名府兩院押獄兼行刑劊子。
CaiQing,CaiQing,蔡慶,一枝花,95,地損星,72,74,70,60,80,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,蔡福之弟，鬢邊常插一朵花。
LiLi,LiLi,李立,催命判官,96,地奴星,74,76,70,50,75,Merchant,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,揭陽嶺開黑店酒店。
LiYun,LiYun,李雲,青眼虎,97,地察星,80,82,75,65,80,Warrior,Artisan,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,沂水縣都頭，武藝過人，掌管梁山營造房屋。
JiaoTing,JiaoTing,焦挺,沒面目,98,地惡星,82,84,65,45,80,Warrior,None,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,中山府人，祖傳相撲絕技，曾摔倒李逵。
ShiYong,ShiYong,石勇,石將軍,99,地醜星,75,76,70,50,75,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大名府賭徒出身，使短棒。
SunXin,SunXin,孫新,小尉遲,100,地數星,76,78,75,65,80,Warrior,Merchant,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,孫立之弟，登州開店，使幾路好鞭槍。
GuDasao,GuDasao,顧大嫂,母大蟲,101,地陰星,78,80,75,60,85,Warrior,Merchant,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,孫新之妻，登州東門外開酒店，性格悍勇。
ZhangQing_Gardener,ZhangQing_Gardener,張青,菜園子,102,地刑星,74,76,70,55,80,Farmer,Merchant,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,孟州十字坡開酒店，種菜好手。
SunErniang,SunErniang,孫二娘,母夜叉,103,地壯星,76,78,78,60,85,Warrior,Merchant,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,張青之妻，十字坡開黑店，武藝高強。
WangDingliu,WangDingliu,王定六,活閃婆,104,地劣星,65,60,80,60,75,Boatman,Merchant,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,建康府江邊開酒店，身輕如燕。
YuBaoSi,YuBaoSi,郁保四,險道神,105,地健星,85,82,60,40,75,Warrior,None,80,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,青州強盜，身長一丈，梁山執掌帥旗巨漢。
BaiSheng,BaiSheng,白勝,白日鼠,106,地耗星,55,45,80,60,70,Merchant,None,75,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,黃泥岡智取生辰綱，扮賣酒漢。
ShiQian,ShiQian,時遷,鼓上蚤,107,地賊星,60,40,98,75,80,Hunter,Entertainer,85,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,高唐州飛賊，飛簷走壁天下無雙，盜雁翎金圈甲。
DuanJingzhu,DuanJingzhu,段景住,金毛犬,108,地狗星,65,60,75,60,75,Hunter,Merchant,80,DivineSpeed,Steed_JadeLion,100,/Game/UI/Portraits/Portrait_LinChong.jpg,涿州盜馬好手，赤髮黃鬚，曾盜照夜玉獅子馬獻宋江。
GaoQiu,GaoQiu,高俅,殿帥府太尉,109,FACTION_Court,55,40,85,82,70,Entertainer,Scholar,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京殿帥府太尉，蹴鞠起家，深得徽宗寵信。心胸狹隘，陰險狡詐，因私怨逼走王進、陷害林沖，是梁山泊好漢之死敵。
CaiJing,CaiJing,蔡京,太師當朝,110,FACTION_Court,45,25,60,95,65,Scholar,Merchant,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,北宋六賊之首，四度拜相，把持朝政，書法自成一家。大肆搜括民脂民膏，推行花石綱，致使天下動盪、民不聊生。
TongGuan,TongGuan,童貫,樞密使,111,FACTION_Court,65,60,65,72,60,Warrior,Scholar,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,掌管樞密院軍權之宦官，號稱「媼相」。曾統率十萬禁軍征討梁山泊，卻在水泊連遭慘敗，狼狽逃回東京。
YangJian,YangJian,楊戩,彰化軍節度使,112,FACTION_Court,50,30,50,80,60,Scholar,Merchant,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,四大奸臣之一，巧立「公田法」盤剝百姓土地與租稅，與蔡京、高俅相互勾結，禍國殃民。
LiangZhongshu,LiangZhongshu,梁中書,大名府留守司,113,FACTION_Court,58,45,55,75,65,Scholar,Merchant,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,蔡京女婿，官拜北京大名府留守司。每年搜刮十萬貫金珠「生辰綱」為岳丈祝壽，引發晁蓋等七星智取生辰綱。
GaoYanei,GaoYanei,高衙內,花花太歲,114,FACTION_Court,40,30,45,35,40,Entertainer,None,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,高俅之螟蛉義子，倚仗權勢在東京橫行霸道。於岳廟調戲林沖妻子，並設下毒計欲強佔之，迫使林沖家破人亡。
LuQian,LuQian,陸謙,陸虞候,115,FACTION_Court,65,65,72,78,60,Scholar,Warrior,70.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京虞候，原為林沖自幼好友。為攀附高俅父子賣友求榮，設白虎堂與火燒草料場之毒計，終在山神廟被林沖手刃。
FuAn,FuAn,富安,干辦,116,FACTION_Court,50,35,55,65,50,Merchant,None,70.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,高衙內手下清客幫閒，為虎作倀，多次策劃陷害林沖，終在草料場山神廟前伏誅。
WangJin,WangJin,王進,八十萬禁軍教頭,117,FACTION_Court,88,92,90,75,90,Warrior,Hunter,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京八十萬禁軍教頭，十八般武藝無一不精。因父曾棒打高俅而攜母逃避，指點九紋龍史進武藝，後投老種經略相公。
ZongZe,ZongZe,宗澤,宗老將軍,118,FACTION_Court,80,78,75,92,98,Scholar,Warrior,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,宋代抗金名臣與名將，剛直不阿，忠貫日月。臨終前連呼三聲「過河」，深具民族氣節與統帥才能。
